series_id,year,period,value
SMS19000005000000001,1996,M01,33.0
SMS19000005000000001,1996,M02,33.2
SMS19000005000000001,1996,M03,33.3
SMS19000005000000001,1996,M04,33.4
SMS19000005000000001,1996,M05,33.5
SMS19000005000000001,1996,M06,33.5
SMS19000005000000001,1996,M07,33.8
SMS19000005000000001,1996,M08,33.8
SMS19000005000000001,1996,M09,34.1
SMS19000005000000001,1996,M10,34.7
SMS19000005000000001,1996,M11,34.4
SMS19000005000000001,1996,M12,34.6
SMS19000005000000001,1997,M01,33.9
SMS19000005000000001,1997,M02,33.7
SMS19000005000000001,1997,M03,34.0
SMS19000005000000001,1997,M04,34.4
SMS19000005000000001,1997,M05,34.5
SMS19000005000000001,1997,M06,34.4
SMS19000005000000001,1997,M07,34.5
SMS19000005000000001,1997,M08,34.7
SMS19000005000000001,1997,M09,34.7
SMS19000005000000001,1997,M10,34.9
SMS19000005000000001,1997,M11,34.8
SMS19000005000000001,1997,M12,35.0
SMS19000005000000001,1998,M01,35.1
SMS19000005000000001,1998,M02,35.0
SMS19000005000000001,1998,M03,35.1
SMS19000005000000001,1998,M04,35.5
SMS19000005000000001,1998,M05,35.6
SMS19000005000000001,1998,M06,35.7
SMS19000005000000001,1998,M07,35.8
SMS19000005000000001,1998,M08,35.7
SMS19000005000000001,1998,M09,35.7
SMS19000005000000001,1998,M10,36.1
SMS19000005000000001,1998,M11,36.5
SMS19000005000000001,1998,M12,36.6
SMS19000005000000001,1999,M01,38.1
SMS19000005000000001,1999,M02,38.1
SMS19000005000000001,1999,M03,37.8
SMS19000005000000001,1999,M04,39.2
SMS19000005000000001,1999,M05,39.2
SMS19000005000000001,1999,M06,39.1
SMS19000005000000001,1999,M07,38.2
SMS19000005000000001,1999,M08,38.0
SMS19000005000000001,1999,M09,38.5
SMS19000005000000001,1999,M10,39.5
SMS19000005000000001,1999,M11,39.2
SMS19000005000000001,1999,M12,39.4
SMS19000005000000001,2000,M01,40.0
SMS19000005000000001,2000,M02,39.9
SMS19000005000000001,2000,M03,40.3
SMS19000005000000001,2000,M04,40.4
SMS19000005000000001,2000,M05,40.5
SMS19000005000000001,2000,M06,40.8
SMS19000005000000001,2000,M07,40.4
SMS19000005000000001,2000,M08,40.4
SMS19000005000000001,2000,M09,40.4
SMS19000005000000001,2000,M10,40.2
SMS19000005000000001,2000,M11,40.3
SMS19000005000000001,2000,M12,40.8
SMS19000005000000001,2001,M01,38.6
SMS19000005000000001,2001,M02,38.6
SMS19000005000000001,2001,M03,39.0
SMS19000005000000001,2001,M04,38.0
SMS19000005000000001,2001,M05,37.6
SMS19000005000000001,2001,M06,37.4
SMS19000005000000001,2001,M07,37.5
SMS19000005000000001,2001,M08,37.2
SMS19000005000000001,2001,M09,37.0
SMS19000005000000001,2001,M10,36.8
SMS19000005000000001,2001,M11,36.1
SMS19000005000000001,2001,M12,35.7
SMS19000005000000001,2002,M01,35.7
SMS19000005000000001,2002,M02,35.6
SMS19000005000000001,2002,M03,35.4
SMS19000005000000001,2002,M04,35.4
SMS19000005000000001,2002,M05,35.4
SMS19000005000000001,2002,M06,35.3
SMS19000005000000001,2002,M07,34.6
SMS19000005000000001,2002,M08,35.0
SMS19000005000000001,2002,M09,34.8
SMS19000005000000001,2002,M10,34.6
SMS19000005000000001,2002,M11,34.6
SMS19000005000000001,2002,M12,34.2
SMS19000005000000001,2003,M01,33.8
SMS19000005000000001,2003,M02,34.0
SMS19000005000000001,2003,M03,33.7
SMS19000005000000001,2003,M04,33.3
SMS19000005000000001,2003,M05,33.4
SMS19000005000000001,2003,M06,33.4
SMS19000005000000001,2003,M07,33.6
SMS19000005000000001,2003,M08,33.7
SMS19000005000000001,2003,M09,33.8
SMS19000005000000001,2003,M10,33.6
SMS19000005000000001,2003,M11,33.5
SMS19000005000000001,2003,M12,33.5
SMS19000005000000001,2004,M01,33.6
SMS19000005000000001,2004,M02,33.4
SMS19000005000000001,2004,M03,33.4
SMS19000005000000001,2004,M04,33.5
SMS19000005000000001,2004,M05,33.5
SMS19000005000000001,2004,M06,33.4
SMS19000005000000001,2004,M07,33.9
SMS19000005000000001,2004,M08,34.1
SMS19000005000000001,2004,M09,33.9
SMS19000005000000001,2004,M10,33.9
SMS19000005000000001,2004,M11,33.9
SMS19000005000000001,2004,M12,33.8
SMS19000005000000001,2005,M01,33.7
SMS19000005000000001,2005,M02,33.5
SMS19000005000000001,2005,M03,33.5
SMS19000005000000001,2005,M04,33.2
SMS19000005000000001,2005,M05,33.0
SMS19000005000000001,2005,M06,32.8
SMS19000005000000001,2005,M07,32.9
SMS19000005000000001,2005,M08,32.7
SMS19000005000000001,2005,M09,32.7
SMS19000005000000001,2005,M10,32.6
SMS19000005000000001,2005,M11,32.5
SMS19000005000000001,2005,M12,32.6
