series_id,year,period,value
SMS31000000000000001,1996,M01,832.4
SMS31000000000000001,1996,M02,834.3
SMS31000000000000001,1996,M03,835.3
SMS31000000000000001,1996,M04,836.3
SMS31000000000000001,1996,M05,835.9
SMS31000000000000001,1996,M06,837.9
SMS31000000000000001,1996,M07,836.8
SMS31000000000000001,1996,M08,841.0
SMS31000000000000001,1996,M09,840.5
SMS31000000000000001,1996,M10,844.2
SMS31000000000000001,1996,M11,845.6
SMS31000000000000001,1996,M12,845.4
SMS31000000000000001,1997,M01,847.6
SMS31000000000000001,1997,M02,847.9
SMS31000000000000001,1997,M03,854.0
SMS31000000000000001,1997,M04,852.6
SMS31000000000000001,1997,M05,855.4
SMS31000000000000001,1997,M06,857.1
SMS31000000000000001,1997,M07,860.2
SMS31000000000000001,1997,M08,858.9
SMS31000000000000001,1997,M09,861.9
SMS31000000000000001,1997,M10,862.0
SMS31000000000000001,1997,M11,866.4
SMS31000000000000001,1997,M12,868.4
SMS31000000000000001,1998,M01,868.2
SMS31000000000000001,1998,M02,871.3
SMS31000000000000001,1998,M03,869.9
SMS31000000000000001,1998,M04,875.4
SMS31000000000000001,1998,M05,875.7
SMS31000000000000001,1998,M06,876.7
SMS31000000000000001,1998,M07,883.3
SMS31000000000000001,1998,M08,881.9
SMS31000000000000001,1998,M09,883.1
SMS31000000000000001,1998,M10,886.2
SMS31000000000000001,1998,M11,890.9
SMS31000000000000001,1998,M12,892.3
SMS31000000000000001,1999,M01,886.5
SMS31000000000000001,1999,M02,889.7
SMS31000000000000001,1999,M03,888.6
SMS31000000000000001,1999,M04,891.4
SMS31000000000000001,1999,M05,890.8
SMS31000000000000001,1999,M06,895.5
SMS31000000000000001,1999,M07,900.9
SMS31000000000000001,1999,M08,899.5
SMS31000000000000001,1999,M09,900.0
SMS31000000000000001,1999,M10,901.1
SMS31000000000000001,1999,M11,903.0
SMS31000000000000001,1999,M12,905.7
SMS31000000000000001,2000,M01,909.3
SMS31000000000000001,2000,M02,908.7
SMS31000000000000001,2000,M03,912.9
SMS31000000000000001,2000,M04,909.7
SMS31000000000000001,2000,M05,912.6
SMS31000000000000001,2000,M06,916.6
SMS31000000000000001,2000,M07,913.5
SMS31000000000000001,2000,M08,915.6
SMS31000000000000001,2000,M09,914.6
SMS31000000000000001,2000,M10,914.9
SMS31000000000000001,2000,M11,916.1
SMS31000000000000001,2000,M12,914.1
SMS31000000000000001,2001,M01,918.8
SMS31000000000000001,2001,M02,917.7
SMS31000000000000001,2001,M03,918.5
SMS31000000000000001,2001,M04,919.4
SMS31000000000000001,2001,M05,920.9
SMS31000000000000001,2001,M06,922.2
SMS31000000000000001,2001,M07,920.1
SMS31000000000000001,2001,M08,922.8
SMS31000000000000001,2001,M09,918.4
SMS31000000000000001,2001,M10,916.8
SMS31000000000000001,2001,M11,919.1
SMS31000000000000001,2001,M12,916.9
SMS31000000000000001,2002,M01,910.7
SMS31000000000000001,2002,M02,911.8
SMS31000000000000001,2002,M03,911.5
SMS31000000000000001,2002,M04,912.6
SMS31000000000000001,2002,M05,911.6
SMS31000000000000001,2002,M06,912.3
SMS31000000000000001,2002,M07,910.7
SMS31000000000000001,2002,M08,910.2
SMS31000000000000001,2002,M09,910.2
SMS31000000000000001,2002,M10,910.6
SMS31000000000000001,2002,M11,909.0
SMS31000000000000001,2002,M12,910.4
SMS31000000000000001,2003,M01,916.4
SMS31000000000000001,2003,M02,914.3
SMS31000000000000001,2003,M03,911.7
SMS31000000000000001,2003,M04,915.7
SMS31000000000000001,2003,M05,914.1
SMS31000000000000001,2003,M06,914.0
SMS31000000000000001,2003,M07,911.0
SMS31000000000000001,2003,M08,911.0
SMS31000000000000001,2003,M09,911.3
SMS31000000000000001,2003,M10,913.3
SMS31000000000000001,2003,M11,914.3
SMS31000000000000001,2003,M12,915.0
SMS31000000000000001,2004,M01,916.9
SMS31000000000000001,2004,M02,913.3
SMS31000000000000001,2004,M03,915.7
SMS31000000000000001,2004,M04,919.2
SMS31000000000000001,2004,M05,919.6
SMS31000000000000001,2004,M06,921.4
SMS31000000000000001,2004,M07,921.9
SMS31000000000000001,2004,M08,924.7
SMS31000000000000001,2004,M09,925.2
SMS31000000000000001,2004,M10,925.2
SMS31000000000000001,2004,M11,925.9
SMS31000000000000001,2004,M12,927.3
SMS31000000000000001,2005,M01,927.4
SMS31000000000000001,2005,M02,929.9
SMS31000000000000001,2005,M03,931.8
SMS31000000000000001,2005,M04,932.7
SMS31000000000000001,2005,M05,932.1
SMS31000000000000001,2005,M06,933.4
SMS31000000000000001,2005,M07,936.1
SMS31000000000000001,2005,M08,935.6
SMS31000000000000001,2005,M09,936.9
SMS31000000000000001,2005,M10,937.5
SMS31000000000000001,2005,M11,938.5
SMS31000000000000001,2005,M12,938.3
SMS31000000000000001,2006,M01,940.9
SMS31000000000000001,2006,M02,944.3
SMS31000000000000001,2006,M03,943.9
SMS31000000000000001,2006,M04,942.5
SMS31000000000000001,2006,M05,942.8
SMS31000000000000001,2006,M06,946.1
SMS31000000000000001,2006,M07,945.5
SMS31000000000000001,2006,M08,946.0
SMS31000000000000001,2006,M09,948.6
SMS31000000000000001,2006,M10,947.7
SMS31000000000000001,2006,M11,949.9
SMS31000000000000001,2006,M12,951.6
SMS31000000000000001,2007,M01,954.6
SMS31000000000000001,2007,M02,955.6
SMS31000000000000001,2007,M03,955.7
SMS31000000000000001,2007,M04,957.8
SMS31000000000000001,2007,M05,960.0
SMS31000000000000001,2007,M06,962.1
SMS31000000000000001,2007,M07,962.9
SMS31000000000000001,2007,M08,964.6
SMS31000000000000001,2007,M09,965.3
SMS31000000000000001,2007,M10,966.5
SMS31000000000000001,2007,M11,967.0
SMS31000000000000001,2007,M12,967.9
SMS31000000000000001,2008,M01,971.9
SMS31000000000000001,2008,M02,970.9
SMS31000000000000001,2008,M03,971.1
SMS31000000000000001,2008,M04,970.5
SMS31000000000000001,2008,M05,970.4
SMS31000000000000001,2008,M06,968.7
SMS31000000000000001,2008,M07,968.1
SMS31000000000000001,2008,M08,968.8
SMS31000000000000001,2008,M09,968.6
SMS31000000000000001,2008,M10,969.9
SMS31000000000000001,2008,M11,968.0
SMS31000000000000001,2008,M12,966.5
SMS31000000000000001,2009,M01,962.6
SMS31000000000000001,2009,M02,959.4
SMS31000000000000001,2009,M03,956.3
SMS31000000000000001,2009,M04,950.7
SMS31000000000000001,2009,M05,950.4
SMS31000000000000001,2009,M06,947.8
SMS31000000000000001,2009,M07,949.6
SMS31000000000000001,2009,M08,946.6
SMS31000000000000001,2009,M09,944.8
SMS31000000000000001,2009,M10,944.1
SMS31000000000000001,2009,M11,944.0
SMS31000000000000001,2009,M12,939.7
SMS31000000000000001,2010,M01,938.4
SMS31000000000000001,2010,M02,939.7
SMS31000000000000001,2010,M03,939.9
SMS31000000000000001,2010,M04,943.2
SMS31000000000000001,2010,M05,945.0
SMS31000000000000001,2010,M06,947.5
SMS31000000000000001,2010,M07,948.2
SMS31000000000000001,2010,M08,949.0
SMS31000000000000001,2010,M09,946.8
SMS31000000000000001,2010,M10,947.9
SMS31000000000000001,2010,M11,946.8
SMS31000000000000001,2010,M12,947.5
SMS31000000000000001,2011,M01,945.6
SMS31000000000000001,2011,M02,946.0
SMS31000000000000001,2011,M03,947.8
SMS31000000000000001,2011,M04,951.8
SMS31000000000000001,2011,M05,950.9
SMS31000000000000001,2011,M06,952.7
SMS31000000000000001,2011,M07,953.7
SMS31000000000000001,2011,M08,953.3
SMS31000000000000001,2011,M09,956.1
SMS31000000000000001,2011,M10,957.1
SMS31000000000000001,2011,M11,958.8
SMS31000000000000001,2011,M12,959.7
SMS31000000000000001,2012,M01,962.5
SMS31000000000000001,2012,M02,963.2
SMS31000000000000001,2012,M03,966.6
SMS31000000000000001,2012,M04,966.9
SMS31000000000000001,2012,M05,968.1
SMS31000000000000001,2012,M06,969.4
SMS31000000000000001,2012,M07,970.1
SMS31000000000000001,2012,M08,969.6
SMS31000000000000001,2012,M09,970.4
SMS31000000000000001,2012,M10,971.8
SMS31000000000000001,2012,M11,972.4
SMS31000000000000001,2012,M12,974.2
SMS31000000000000001,2013,M01,973.6
SMS31000000000000001,2013,M02,975.3
SMS31000000000000001,2013,M03,974.8
SMS31000000000000001,2013,M04,974.9
SMS31000000000000001,2013,M05,978.2
SMS31000000000000001,2013,M06,978.6
SMS31000000000000001,2013,M07,980.6
SMS31000000000000001,2013,M08,982.5
SMS31000000000000001,2013,M09,983.8
SMS31000000000000001,2013,M10,985.5
SMS31000000000000001,2013,M11,987.2
SMS31000000000000001,2013,M12,987.9
SMS31000000000000001,2014,M01,989.1
SMS31000000000000001,2014,M02,991.3
SMS31000000000000001,2014,M03,990.5
SMS31000000000000001,2014,M04,990.9
SMS31000000000000001,2014,M05,991.9
SMS31000000000000001,2014,M06,991.2
SMS31000000000000001,2014,M07,991.4
SMS31000000000000001,2014,M08,992.6
SMS31000000000000001,2014,M09,994.1
SMS31000000000000001,2014,M10,994.9
SMS31000000000000001,2014,M11,995.7
SMS31000000000000001,2014,M12,998.7
SMS31000000000000001,2015,M01,999.3
SMS31000000000000001,2015,M02,1001.6
SMS31000000000000001,2015,M03,1001.9
SMS31000000000000001,2015,M04,1003.4
SMS31000000000000001,2015,M05,1004.0
SMS31000000000000001,2015,M06,1005.9
SMS31000000000000001,2015,M07,1007.1
SMS31000000000000001,2015,M08,1009.0
SMS31000000000000001,2015,M09,1009.3
SMS31000000000000001,2015,M10,1011.3
SMS31000000000000001,2015,M11,1011.5
SMS31000000000000001,2015,M12,1013.3
