series_id,year,period,value
SMS20000004000000001,1996,M01,257.0
SMS20000004000000001,1996,M02,257.0
SMS20000004000000001,1996,M03,257.6
SMS20000004000000001,1996,M04,258.1
SMS20000004000000001,1996,M05,258.3
SMS20000004000000001,1996,M06,258.0
SMS20000004000000001,1996,M07,258.3
SMS20000004000000001,1996,M08,258.5
SMS20000004000000001,1996,M09,258.1
SMS20000004000000001,1996,M10,259.6
SMS20000004000000001,1996,M11,260.1
SMS20000004000000001,1996,M12,260.7
SMS20000004000000001,1997,M01,259.9
SMS20000004000000001,1997,M02,260.2
SMS20000004000000001,1997,M03,261.2
SMS20000004000000001,1997,M04,261.9
SMS20000004000000001,1997,M05,262.6
SMS20000004000000001,1997,M06,263.7
SMS20000004000000001,1997,M07,263.6
SMS20000004000000001,1997,M08,263.2
SMS20000004000000001,1997,M09,266.0
SMS20000004000000001,1997,M10,266.0
SMS20000004000000001,1997,M11,266.0
SMS20000004000000001,1997,M12,266.5
SMS20000004000000001,1998,M01,268.5
SMS20000004000000001,1998,M02,269.6
SMS20000004000000001,1998,M03,269.2
SMS20000004000000001,1998,M04,270.4
SMS20000004000000001,1998,M05,271.9
SMS20000004000000001,1998,M06,272.2
SMS20000004000000001,1998,M07,270.2
SMS20000004000000001,1998,M08,269.9
SMS20000004000000001,1998,M09,269.7
SMS20000004000000001,1998,M10,271.4
SMS20000004000000001,1998,M11,272.2
SMS20000004000000001,1998,M12,273.1
SMS20000004000000001,1999,M01,272.6
SMS20000004000000001,1999,M02,273.0
SMS20000004000000001,1999,M03,273.1
SMS20000004000000001,1999,M04,271.9
SMS20000004000000001,1999,M05,271.4
SMS20000004000000001,1999,M06,272.5
SMS20000004000000001,1999,M07,273.9
SMS20000004000000001,1999,M08,272.8
SMS20000004000000001,1999,M09,272.0
SMS20000004000000001,1999,M10,275.4
SMS20000004000000001,1999,M11,275.4
SMS20000004000000001,1999,M12,276.0
SMS20000004000000001,2000,M01,275.4
SMS20000004000000001,2000,M02,275.3
SMS20000004000000001,2000,M03,275.4
SMS20000004000000001,2000,M04,275.4
SMS20000004000000001,2000,M05,274.5
SMS20000004000000001,2000,M06,275.4
SMS20000004000000001,2000,M07,273.9
SMS20000004000000001,2000,M08,274.3
SMS20000004000000001,2000,M09,274.0
SMS20000004000000001,2000,M10,273.5
SMS20000004000000001,2000,M11,274.2
SMS20000004000000001,2000,M12,273.8
SMS20000004000000001,2001,M01,274.3
SMS20000004000000001,2001,M02,273.3
SMS20000004000000001,2001,M03,272.4
SMS20000004000000001,2001,M04,271.7
SMS20000004000000001,2001,M05,271.9
SMS20000004000000001,2001,M06,270.9
SMS20000004000000001,2001,M07,271.4
SMS20000004000000001,2001,M08,271.0
SMS20000004000000001,2001,M09,269.5
SMS20000004000000001,2001,M10,269.4
SMS20000004000000001,2001,M11,268.0
SMS20000004000000001,2001,M12,268.1
SMS20000004000000001,2002,M01,268.4
SMS20000004000000001,2002,M02,266.8
SMS20000004000000001,2002,M03,266.2
SMS20000004000000001,2002,M04,267.6
SMS20000004000000001,2002,M05,267.0
SMS20000004000000001,2002,M06,266.7
SMS20000004000000001,2002,M07,265.9
SMS20000004000000001,2002,M08,265.1
SMS20000004000000001,2002,M09,264.7
SMS20000004000000001,2002,M10,263.7
SMS20000004000000001,2002,M11,263.4
SMS20000004000000001,2002,M12,262.8
SMS20000004000000001,2003,M01,262.2
SMS20000004000000001,2003,M02,261.6
SMS20000004000000001,2003,M03,261.0
SMS20000004000000001,2003,M04,261.0
SMS20000004000000001,2003,M05,260.7
SMS20000004000000001,2003,M06,259.4
SMS20000004000000001,2003,M07,260.6
SMS20000004000000001,2003,M08,260.8
SMS20000004000000001,2003,M09,261.4
SMS20000004000000001,2003,M10,261.0
SMS20000004000000001,2003,M11,260.8
SMS20000004000000001,2003,M12,260.5
SMS20000004000000001,2004,M01,260.8
SMS20000004000000001,2004,M02,260.0
SMS20000004000000001,2004,M03,260.2
SMS20000004000000001,2004,M04,261.1
SMS20000004000000001,2004,M05,261.9
SMS20000004000000001,2004,M06,261.8
SMS20000004000000001,2004,M07,261.2
SMS20000004000000001,2004,M08,260.6
SMS20000004000000001,2004,M09,262.8
SMS20000004000000001,2004,M10,261.9
SMS20000004000000001,2004,M11,261.6
