series_id,year,period,value
SMS29000001000000001,1996,M01,5.0
SMS29000001000000001,1996,M02,5.1
SMS29000001000000001,1996,M03,5.2
SMS29000001000000001,1996,M04,5.2
SMS29000001000000001,1996,M05,5.2
SMS29000001000000001,1996,M06,5.1
SMS29000001000000001,1996,M07,5.3
SMS29000001000000001,1996,M08,5.2
SMS29000001000000001,1996,M09,5.2
SMS29000001000000001,1996,M10,5.3
SMS29000001000000001,1996,M11,5.2
SMS29000001000000001,1996,M12,5.2
SMS29000001000000001,1997,M01,5.2
SMS29000001000000001,1997,M02,5.1
SMS29000001000000001,1997,M03,5.2
SMS29000001000000001,1997,M04,5.2
SMS29000001000000001,1997,M05,5.3
SMS29000001000000001,1997,M06,5.3
SMS29000001000000001,1997,M07,5.2
SMS29000001000000001,1997,M08,5.1
SMS29000001000000001,1997,M09,5.2
SMS29000001000000001,1997,M10,5.1
SMS29000001000000001,1997,M11,5.2
SMS29000001000000001,1997,M12,5.1
SMS29000001000000001,1998,M01,5.3
SMS29000001000000001,1998,M02,5.3
SMS29000001000000001,1998,M03,5.2
SMS29000001000000001,1998,M04,5.3
SMS29000001000000001,1998,M05,5.3
SMS29000001000000001,1998,M06,5.3
SMS29000001000000001,1998,M07,5.4
SMS29000001000000001,1998,M08,5.4
SMS29000001000000001,1998,M09,5.4
SMS29000001000000001,1998,M10,5.4
SMS29000001000000001,1998,M11,5.5
SMS29000001000000001,1998,M12,5.5
SMS29000001000000001,1999,M01,5.5
SMS29000001000000001,1999,M02,5.6
SMS29000001000000001,1999,M03,5.6
SMS29000001000000001,1999,M04,5.6
SMS29000001000000001,1999,M05,5.5
SMS29000001000000001,1999,M06,5.6
SMS29000001000000001,1999,M07,5.6
SMS29000001000000001,1999,M08,5.6
SMS29000001000000001,1999,M09,5.6
SMS29000001000000001,1999,M10,5.7
SMS29000001000000001,1999,M11,5.7
SMS29000001000000001,1999,M12,5.8
SMS29000001000000001,2000,M01,5.7
SMS29000001000000001,2000,M02,5.7
SMS29000001000000001,2000,M03,5.7
SMS29000001000000001,2000,M04,6.0
SMS29000001000000001,2000,M05,5.9
SMS29000001000000001,2000,M06,5.8
SMS29000001000000001,2000,M07,5.4
SMS29000001000000001,2000,M08,5.4
SMS29000001000000001,2000,M09,5.3
SMS29000001000000001,2000,M10,5.4
SMS29000001000000001,2000,M11,5.3
SMS29000001000000001,2000,M12,5.2
SMS29000001000000001,2001,M01,5.0
SMS29000001000000001,2001,M02,5.1
SMS29000001000000001,2001,M03,5.1
SMS29000001000000001,2001,M04,5.2
SMS29000001000000001,2001,M05,5.0
SMS29000001000000001,2001,M06,5.0
SMS29000001000000001,2001,M07,5.0
SMS29000001000000001,2001,M08,5.0
SMS29000001000000001,2001,M09,4.9
SMS29000001000000001,2001,M10,4.8
SMS29000001000000001,2001,M11,4.7
SMS29000001000000001,2001,M12,4.7
SMS29000001000000001,2002,M01,4.7
SMS29000001000000001,2002,M02,4.7
SMS29000001000000001,2002,M03,4.6
SMS29000001000000001,2002,M04,4.5
SMS29000001000000001,2002,M05,4.5
SMS29000001000000001,2002,M06,4.6
SMS29000001000000001,2002,M07,4.6
SMS29000001000000001,2002,M08,4.5
SMS29000001000000001,2002,M09,4.6
SMS29000001000000001,2002,M10,4.6
SMS29000001000000001,2002,M11,4.6
SMS29000001000000001,2002,M12,4.6
SMS29000001000000001,2003,M01,4.6
SMS29000001000000001,2003,M02,4.6
SMS29000001000000001,2003,M03,4.5
SMS29000001000000001,2003,M04,4.6
SMS29000001000000001,2003,M05,4.5
SMS29000001000000001,2003,M06,4.6
SMS29000001000000001,2003,M07,4.5
SMS29000001000000001,2003,M08,4.5
SMS29000001000000001,2003,M09,4.5
SMS29000001000000001,2003,M10,4.5
SMS29000001000000001,2003,M11,4.5
SMS29000001000000001,2003,M12,4.6
SMS29000001000000001,2004,M01,4.8
SMS29000001000000001,2004,M02,4.7
SMS29000001000000001,2004,M03,4.7
SMS29000001000000001,2004,M04,4.9
SMS29000001000000001,2004,M05,4.8
SMS29000001000000001,2004,M06,4.8
SMS29000001000000001,2004,M07,4.9
SMS29000001000000001,2004,M08,4.9
SMS29000001000000001,2004,M09,4.9
SMS29000001000000001,2004,M10,4.8
SMS29000001000000001,2004,M11,4.8
SMS29000001000000001,2004,M12,4.8
SMS29000001000000001,2005,M01,5.1
SMS29000001000000001,2005,M02,5.1
SMS29000001000000001,2005,M03,5.2
SMS29000001000000001,2005,M04,5.4
SMS29000001000000001,2005,M05,5.4
SMS29000001000000001,2005,M06,5.4
SMS29000001000000001,2005,M07,5.3
SMS29000001000000001,2005,M08,5.3
SMS29000001000000001,2005,M09,5.3
SMS29000001000000001,2005,M10,5.3
SMS29000001000000001,2005,M11,5.4
SMS29000001000000001,2005,M12,5.5
SMS29000001000000001,2006,M01,5.5
SMS29000001000000001,2006,M02,5.5
SMS29000001000000001,2006,M03,5.5
SMS29000001000000001,2006,M04,5.5
SMS29000001000000001,2006,M05,5.5
SMS29000001000000001,2006,M06,5.5
SMS29000001000000001,2006,M07,5.5
SMS29000001000000001,2006,M08,5.3
SMS29000001000000001,2006,M09,5.4
SMS29000001000000001,2006,M10,5.3
SMS29000001000000001,2006,M11,5.2
SMS29000001000000001,2006,M12,5.2
SMS29000001000000001,2007,M01,5.3
SMS29000001000000001,2007,M02,5.2
SMS29000001000000001,2007,M03,5.3
SMS29000001000000001,2007,M04,5.3
SMS29000001000000001,2007,M05,5.3
SMS29000001000000001,2007,M06,5.4
SMS29000001000000001,2007,M07,5.6
SMS29000001000000001,2007,M08,6.0
SMS29000001000000001,2007,M09,5.9
SMS29000001000000001,2007,M10,5.9
SMS29000001000000001,2007,M11,5.9
SMS29000001000000001,2007,M12,5.7
SMS29000001000000001,2008,M01,5.6
SMS29000001000000001,2008,M02,5.4
SMS29000001000000001,2008,M03,5.3
SMS29000001000000001,2008,M04,5.2
SMS29000001000000001,2008,M05,5.0
SMS29000001000000001,2008,M06,4.9
SMS29000001000000001,2008,M07,5.0
SMS29000001000000001,2008,M08,5.1
SMS29000001000000001,2008,M09,5.2
SMS29000001000000001,2008,M10,5.2
SMS29000001000000001,2008,M11,4.8
SMS29000001000000001,2008,M12,4.7
SMS29000001000000001,2009,M01,4.7
SMS29000001000000001,2009,M02,4.6
SMS29000001000000001,2009,M03,4.4
SMS29000001000000001,2009,M04,4.3
SMS29000001000000001,2009,M05,4.2
SMS29000001000000001,2009,M06,4.2
SMS29000001000000001,2009,M07,4.2
SMS29000001000000001,2009,M08,4.3
SMS29000001000000001,2009,M09,4.1
SMS29000001000000001,2009,M10,4.1
SMS29000001000000001,2009,M11,4.1
SMS29000001000000001,2009,M12,4.1
SMS29000001000000001,2010,M01,4.1
SMS29000001000000001,2010,M02,4.2
SMS29000001000000001,2010,M03,4.3
SMS29000001000000001,2010,M04,4.3
SMS29000001000000001,2010,M05,4.3
SMS29000001000000001,2010,M06,4.3
SMS29000001000000001,2010,M07,4.3
SMS29000001000000001,2010,M08,4.3
SMS29000001000000001,2010,M09,4.2
SMS29000001000000001,2010,M10,4.2
SMS29000001000000001,2010,M11,4.2
SMS29000001000000001,2010,M12,4.2
SMS29000001000000001,2011,M01,4.2
SMS29000001000000001,2011,M02,4.1
SMS29000001000000001,2011,M03,4.4
SMS29000001000000001,2011,M04,4.3
SMS29000001000000001,2011,M05,4.3
SMS29000001000000001,2011,M06,4.2
SMS29000001000000001,2011,M07,4.2
SMS29000001000000001,2011,M08,4.3
SMS29000001000000001,2011,M09,4.3
SMS29000001000000001,2011,M10,4.2
SMS29000001000000001,2011,M11,4.3
SMS29000001000000001,2011,M12,4.1
SMS29000001000000001,2012,M01,4.2
SMS29000001000000001,2012,M02,4.2
SMS29000001000000001,2012,M03,4.3
SMS29000001000000001,2012,M04,4.2
SMS29000001000000001,2012,M05,4.1
SMS29000001000000001,2012,M06,4.1
SMS29000001000000001,2012,M07,4.0
SMS29000001000000001,2012,M08,4.0
SMS29000001000000001,2012,M09,4.1
SMS29000001000000001,2012,M10,4.1
SMS29000001000000001,2012,M11,4.1
SMS29000001000000001,2012,M12,4.1
SMS29000001000000001,2013,M01,4.0
SMS29000001000000001,2013,M02,4.1
SMS29000001000000001,2013,M03,4.0
SMS29000001000000001,2013,M04,4.1
SMS29000001000000001,2013,M05,4.2
