series_id,year,period,value
SMS20000006000000001,1996,M01,110.7
SMS20000006000000001,1996,M02,111.3
SMS20000006000000001,1996,M03,112.4
SMS20000006000000001,1996,M04,113.3
SMS20000006000000001,1996,M05,114.0
SMS20000006000000001,1996,M06,113.0
SMS20000006000000001,1996,M07,114.3
SMS20000006000000001,1996,M08,115.0
SMS20000006000000001,1996,M09,115.6
SMS20000006000000001,1996,M10,116.4
SMS20000006000000001,1996,M11,117.2
SMS20000006000000001,1996,M12,117.5
SMS20000006000000001,1997,M01,115.6
SMS20000006000000001,1997,M02,116.9
SMS20000006000000001,1997,M03,117.0
SMS20000006000000001,1997,M04,119.0
SMS20000006000000001,1997,M05,120.0
SMS20000006000000001,1997,M06,120.5
SMS20000006000000001,1997,M07,121.4
SMS20000006000000001,1997,M08,121.9
SMS20000006000000001,1997,M09,122.9
SMS20000006000000001,1997,M10,122.7
SMS20000006000000001,1997,M11,123.0
SMS20000006000000001,1997,M12,123.6
SMS20000006000000001,1998,M01,125.8
SMS20000006000000001,1998,M02,126.5
SMS20000006000000001,1998,M03,126.2
SMS20000006000000001,1998,M04,126.1
SMS20000006000000001,1998,M05,126.5
SMS20000006000000001,1998,M06,128.6
SMS20000006000000001,1998,M07,128.2
SMS20000006000000001,1998,M08,128.5
SMS20000006000000001,1998,M09,128.0
SMS20000006000000001,1998,M10,129.4
SMS20000006000000001,1998,M11,129.5
SMS20000006000000001,1998,M12,129.2
SMS20000006000000001,1999,M01,127.8
SMS20000006000000001,1999,M02,128.2
SMS20000006000000001,1999,M03,128.4
SMS20000006000000001,1999,M04,129.5
SMS20000006000000001,1999,M05,129.3
SMS20000006000000001,1999,M06,129.3
SMS20000006000000001,1999,M07,130.7
SMS20000006000000001,1999,M08,130.7
SMS20000006000000001,1999,M09,131.5
SMS20000006000000001,1999,M10,130.7
SMS20000006000000001,1999,M11,131.8
SMS20000006000000001,1999,M12,132.4
SMS20000006000000001,2000,M01,133.3
SMS20000006000000001,2000,M02,132.0
SMS20000006000000001,2000,M03,133.4
SMS20000006000000001,2000,M04,132.8
SMS20000006000000001,2000,M05,133.3
SMS20000006000000001,2000,M06,133.5
SMS20000006000000001,2000,M07,131.6
SMS20000006000000001,2000,M08,132.6
SMS20000006000000001,2000,M09,132.6
SMS20000006000000001,2000,M10,133.7
SMS20000006000000001,2000,M11,134.1
