series_id,year,period,value
LASST290000000000005,1996,M01,2712737
LASST290000000000005,1996,M02,2717132
LASST290000000000005,1996,M03,2722763
LASST290000000000005,1996,M04,2729201
LASST290000000000005,1996,M05,2735831
LASST290000000000005,1996,M06,2742115
LASST290000000000005,1996,M07,2747710
LASST290000000000005,1996,M08,2752580
LASST290000000000005,1996,M09,2756483
LASST290000000000005,1996,M10,2759324
LASST290000000000005,1996,M11,2761844
LASST290000000000005,1996,M12,2764931
LASST290000000000005,1997,M01,2768862
LASST290000000000005,1997,M02,2773479
LASST290000000000005,1997,M03,2778818
LASST290000000000005,1997,M04,2784496
LASST290000000000005,1997,M05,2789430
LASST290000000000005,1997,M06,2793167
LASST290000000000005,1997,M07,2796050
LASST290000000000005,1997,M08,2798385
LASST290000000000005,1997,M09,2800507
LASST290000000000005,1997,M10,2802463
LASST290000000000005,1997,M11,2803940
LASST290000000000005,1997,M12,2805019
LASST290000000000005,1998,M01,2805858
LASST290000000000005,1998,M02,2806592
LASST290000000000005,1998,M03,2807180
LASST290000000000005,1998,M04,2808181
LASST290000000000005,1998,M05,2810206
LASST290000000000005,1998,M06,2813038
LASST290000000000005,1998,M07,2816141
LASST290000000000005,1998,M08,2819508
LASST290000000000005,1998,M09,2823111
LASST290000000000005,1998,M10,2826829
LASST290000000000005,1998,M11,2830020
LASST290000000000005,1998,M12,2832056
LASST290000000000005,1999,M01,2833053
LASST290000000000005,1999,M02,2833445
LASST290000000000005,1999,M03,2833741
LASST290000000000005,1999,M04,2834352
LASST290000000000005,1999,M05,2835668
LASST290000000000005,1999,M06,2838207
LASST290000000000005,1999,M07,2841720
LASST290000000000005,1999,M08,2845709
LASST290000000000005,1999,M09,2849805
LASST290000000000005,1999,M10,2853531
LASST290000000000005,1999,M11,2857074
LASST290000000000005,1999,M12,2860430
LASST290000000000005,2000,M01,2863280
LASST290000000000005,2000,M02,2865418
LASST290000000000005,2000,M03,2866583
LASST290000000000005,2000,M04,2866480
LASST290000000000005,2000,M05,2865109
LASST290000000000005,2000,M06,2862724
LASST290000000000005,2000,M07,2860221
LASST290000000000005,2000,M08,2858754
LASST290000000000005,2000,M09,2858890
LASST290000000000005,2000,M10,2860898
LASST290000000000005,2000,M11,2864034
LASST290000000000005,2000,M12,2866950
LASST290000000000005,2001,M01,2868363
LASST290000000000005,2001,M02,2867639
LASST290000000000005,2001,M03,2864890
LASST290000000000005,2001,M04,2860509
LASST290000000000005,2001,M05,2855423
LASST290000000000005,2001,M06,2850181
LASST290000000000005,2001,M07,2845237
LASST290000000000005,2001,M08,2840183
LASST290000000000005,2001,M09,2834954
LASST290000000000005,2001,M10,2829996
LASST290000000000005,2001,M11,2825650
LASST290000000000005,2001,M12,2822536
LASST290000000000005,2002,M01,2820825
LASST290000000000005,2002,M02,2819923
LASST290000000000005,2002,M03,2819222
LASST290000000000005,2002,M04,2818902
LASST290000000000005,2002,M05,2819079
LASST290000000000005,2002,M06,2819710
LASST290000000000005,2002,M07,2820187
LASST290000000000005,2002,M08,2820202
LASST290000000000005,2002,M09,2819618
LASST290000000000005,2002,M10,2818044
LASST290000000000005,2002,M11,2816010
LASST290000000000005,2002,M12,2813962
LASST290000000000005,2003,M01,2812509
LASST290000000000005,2003,M02,2812205
LASST290000000000005,2003,M03,2812601
LASST290000000000005,2003,M04,2812461
LASST290000000000005,2003,M05,2810888
LASST290000000000005,2003,M06,2808424
LASST290000000000005,2003,M07,2806218
LASST290000000000005,2003,M08,2805126
LASST290000000000005,2003,M09,2805618
LASST290000000000005,2003,M10,2807480
LASST290000000000005,2003,M11,2809845
LASST290000000000005,2003,M12,2811848
LASST290000000000005,2004,M01,2812825
LASST290000000000005,2004,M02,2812598
LASST290000000000005,2004,M03,2811981
LASST290000000000005,2004,M04,2811830
LASST290000000000005,2004,M05,2812406
LASST290000000000005,2004,M06,2813480
LASST290000000000005,2004,M07,2814599
LASST290000000000005,2004,M08,2815478
LASST290000000000005,2004,M09,2816081
LASST290000000000005,2004,M10,2816690
LASST290000000000005,2004,M11,2817582
LASST290000000000005,2004,M12,2819001
LASST290000000000005,2005,M01,2821147
LASST290000000000005,2005,M02,2823975
LASST290000000000005,2005,M03,2827536
LASST290000000000005,2005,M04,2831825
LASST290000000000005,2005,M05,2836803
LASST290000000000005,2005,M06,2841877
LASST290000000000005,2005,M07,2846359
LASST290000000000005,2005,M08,2849874
LASST290000000000005,2005,M09,2852207
LASST290000000000005,2005,M10,2853756
LASST290000000000005,2005,M11,2855201
LASST290000000000005,2005,M12,2857218
LASST290000000000005,2006,M01,2860205
LASST290000000000005,2006,M02,2864048
LASST290000000000005,2006,M03,2868331
LASST290000000000005,2006,M04,2872589
LASST290000000000005,2006,M05,2876763
LASST290000000000005,2006,M06,2880854
LASST290000000000005,2006,M07,2885237
LASST290000000000005,2006,M08,2889947
LASST290000000000005,2006,M09,2894614
LASST290000000000005,2006,M10,2898996
LASST290000000000005,2006,M11,2902593
LASST290000000000005,2006,M12,2904697
LASST290000000000005,2007,M01,2905024
LASST290000000000005,2007,M02,2904030
LASST290000000000005,2007,M03,2902024
LASST290000000000005,2007,M04,2899638
LASST290000000000005,2007,M05,2897418
LASST290000000000005,2007,M06,2895697
LASST290000000000005,2007,M07,2894630
LASST290000000000005,2007,M08,2894311
LASST290000000000005,2007,M09,2894723
LASST290000000000005,2007,M10,2895044
LASST290000000000005,2007,M11,2894824
LASST290000000000005,2007,M12,2894095
LASST290000000000005,2008,M01,2892710
LASST290000000000005,2008,M02,2890757
LASST290000000000005,2008,M03,2888308
LASST290000000000005,2008,M04,2885123
LASST290000000000005,2008,M05,2881056
LASST290000000000005,2008,M06,2876363
LASST290000000000005,2008,M07,2871145
LASST290000000000005,2008,M08,2865319
LASST290000000000005,2008,M09,2858625
LASST290000000000005,2008,M10,2850809
LASST290000000000005,2008,M11,2841820
LASST290000000000005,2008,M12,2831972
LASST290000000000005,2009,M01,2821862
LASST290000000000005,2009,M02,2812300
LASST290000000000005,2009,M03,2804422
LASST290000000000005,2009,M04,2798626
LASST290000000000005,2009,M05,2793816
LASST290000000000005,2009,M06,2788696
LASST290000000000005,2009,M07,2782213
LASST290000000000005,2009,M08,2774225
LASST290000000000005,2009,M09,2765740
LASST290000000000005,2009,M10,2758058
LASST290000000000005,2009,M11,2752270
LASST290000000000005,2009,M12,2748900
LASST290000000000005,2010,M01,2747918
LASST290000000000005,2010,M02,2748114
LASST290000000000005,2010,M03,2748314
LASST290000000000005,2010,M04,2748384
LASST290000000000005,2010,M05,2748706
LASST290000000000005,2010,M06,2749120
LASST290000000000005,2010,M07,2749455
LASST290000000000005,2010,M08,2749772
LASST290000000000005,2010,M09,2749873
LASST290000000000005,2010,M10,2750211
LASST290000000000005,2010,M11,2751125
LASST290000000000005,2010,M12,2752735
LASST290000000000005,2011,M01,2754951
LASST290000000000005,2011,M02,2757410
LASST290000000000005,2011,M03,2759574
LASST290000000000005,2011,M04,2760797
LASST290000000000005,2011,M05,2761288
LASST290000000000005,2011,M06,2762039
LASST290000000000005,2011,M07,2764025
LASST290000000000005,2011,M08,2767376
LASST290000000000005,2011,M09,2771600
LASST290000000000005,2011,M10,2775768
LASST290000000000005,2011,M11,2778786
LASST290000000000005,2011,M12,2780119
LASST290000000000005,2012,M01,2780048
LASST290000000000005,2012,M02,2779395
LASST290000000000005,2012,M03,2778500
LASST290000000000005,2012,M04,2777782
LASST290000000000005,2012,M05,2778123
LASST290000000000005,2012,M06,2779880
LASST290000000000005,2012,M07,2782870
LASST290000000000005,2012,M08,2786522
LASST290000000000005,2012,M09,2790115
LASST290000000000005,2012,M10,2792658
LASST290000000000005,2012,M11,2793974
LASST290000000000005,2012,M12,2794471
LASST290000000000005,2013,M01,2794520
LASST290000000000005,2013,M02,2794929
LASST290000000000005,2013,M03,2796580
LASST290000000000005,2013,M04,2799768
LASST290000000000005,2013,M05,2803121
LASST290000000000005,2013,M06,2805281
LASST290000000000005,2013,M07,2805858
LASST290000000000005,2013,M08,2805419
LASST290000000000005,2013,M09,2805047
LASST290000000000005,2013,M10,2805879
LASST290000000000005,2013,M11,2808545
LASST290000000000005,2013,M12,2812725
LASST290000000000005,2014,M01,2817891
LASST290000000000005,2014,M02,2823225
LASST290000000000005,2014,M03,2827906
LASST290000000000005,2014,M04,2831417
LASST290000000000005,2014,M05,2834526
LASST290000000000005,2014,M06,2838480
LASST290000000000005,2014,M07,2843435
LASST290000000000005,2014,M08,2849284
LASST290000000000005,2014,M09,2855662
LASST290000000000005,2014,M10,2861890
LASST290000000000005,2014,M11,2867151
LASST290000000000005,2014,M12,2871418
LASST290000000000005,2015,M01,2874992
LASST290000000000005,2015,M02,2878083
LASST290000000000005,2015,M03,2881363
LASST290000000000005,2015,M04,2885247
LASST290000000000005,2015,M05,2889427
LASST290000000000005,2015,M06,2893337
LASST290000000000005,2015,M07,2897044
LASST290000000000005,2015,M08,2900782
LASST290000000000005,2015,M09,2904897
LASST290000000000005,2015,M10,2909879
LASST290000000000005,2015,M11,2915456
LASST290000000000005,2015,M12,2920734
LASST290000000000005,2016,M01,2925136
LASST290000000000005,2016,M02,2928355
LASST290000000000005,2016,M03,2930128
LASST290000000000005,2016,M04,2930495
LASST290000000000005,2016,M05,2929952
LASST290000000000005,2016,M06,2928959
LASST290000000000005,2016,M07,2927905
LASST290000000000005,2016,M08,2926892
LASST290000000000005,2016,M09,2925764
LASST290000000000005,2016,M10,2924613
LASST290000000000005,2016,M11,2924082
LASST290000000000005,2016,M12,2924716
LASST290000000000005,2017,M01,2926318
LASST290000000000005,2017,M02,2928708
LASST290000000000005,2017,M03,2931437
LASST290000000000005,2017,M04,2934363
LASST290000000000005,2017,M05,2937285
LASST290000000000005,2017,M06,2939559
LASST290000000000005,2017,M07,2940614
LASST290000000000005,2017,M08,2940131
LASST290000000000005,2017,M09,2938286
LASST290000000000005,2017,M10,2935747
LASST290000000000005,2017,M11,2933328
LASST290000000000005,2017,M12,2932298
LASST290000000000005,2018,M01,2933418
LASST290000000000005,2018,M02,2936838
LASST290000000000005,2018,M03,2941506
LASST290000000000005,2018,M04,2945488
LASST290000000000005,2018,M05,2947403
LASST290000000000005,2018,M06,2947354
LASST290000000000005,2018,M07,2946039
LASST290000000000005,2018,M08,2944615
LASST290000000000005,2018,M09,2944069
LASST290000000000005,2018,M10,2945001
LASST290000000000005,2018,M11,2947203
LASST290000000000005,2018,M12,2950020
LASST290000000000005,2019,M01,2952751
LASST290000000000005,2019,M02,2955215
LASST290000000000005,2019,M03,2957508
LASST290000000000005,2019,M04,2960174
LASST290000000000005,2019,M05,2963224
LASST290000000000005,2019,M06,2966639
LASST290000000000005,2019,M07,2970369
LASST290000000000005,2019,M08,2974197
LASST290000000000005,2019,M09,2978472
LASST290000000000005,2019,M10,2982325
LASST290000000000005,2019,M11,2985077
LASST290000000000005,2019,M12,2985195
LASST290000000000005,2020,M01,2982038
LASST290000000000005,2020,M02,2976175
LASST290000000000005,2020,M03,2970104
LASST290000000000005,2020,M04,2587209
LASST290000000000005,2020,M05,2594117
LASST290000000000005,2020,M06,2728634
LASST290000000000005,2020,M07,2853908
LASST290000000000005,2020,M08,2864659
LASST290000000000005,2020,M09,2874592
LASST290000000000005,2020,M10,2880144
LASST290000000000005,2020,M11,2883137
LASST290000000000005,2020,M12,2883451
LASST290000000000005,2021,M01,2889581
LASST290000000000005,2021,M02,2891261
LASST290000000000005,2021,M03,2894995
LASST290000000000005,2021,M04,2899271
LASST290000000000005,2021,M05,2903840
LASST290000000000005,2021,M06,2908724
LASST290000000000005,2021,M07,2912804
LASST290000000000005,2021,M08,2917447
LASST290000000000005,2021,M09,2921982
LASST290000000000005,2021,M10,2929836
LASST290000000000005,2021,M11,2937752
LASST290000000000005,2021,M12,2946138
LASST290000000000005,2022,M01,2953591
LASST290000000000005,2022,M02,2960430
LASST290000000000005,2022,M03,2965874
LASST290000000000005,2022,M04,2970352
LASST290000000000005,2022,M05,2972665
LASST290000000000005,2022,M06,2974371
LASST290000000000005,2022,M07,2974564
LASST290000000000005,2022,M08,2973940
LASST290000000000005,2022,M09,2973423
LASST290000000000005,2022,M10,2975635
LASST290000000000005,2022,M11,2979696
LASST290000000000005,2022,M12,2984787
LASST290000000000005,2023,M01,2991162
LASST290000000000005,2023,M02,2997386
LASST290000000000005,2023,M03,3003152
LASST290000000000005,2023,M04,3007971
LASST290000000000005,2023,M05,3011578
LASST290000000000005,2023,M06,3014044
LASST290000000000005,2023,M07,3015229
LASST290000000000005,2023,M08,3015668
LASST290000000000005,2023,M09,3015517
LASST290000000000005,2023,M10,3016680
LASST290000000000005,2023,M11,3016777
LASST290000000000005,2023,M12,3017898
LASST290000000000005,2024,M01,3017769
LASST290000000000005,2024,M02,3018722
LASST290000000000005,2024,M03,3019782
LASST290000000000005,2024,M04,3021377
LASST290000000000005,2024,M05,3024646
LASST290000000000005,2024,M06,3027986
LASST290000000000005,2024,M07,3030515
LASST290000000000005,2024,M08,3032340
LASST290000000000005,2024,M09,3032217
LASST290000000000005,2024,M10,3033268
LASST290000000000005,2024,M11,3033794
LASST290000000000005,2024,M12,3033562
